date,region,categorie,transactions,ca,marge_pct
2024-01-05,Île-de-France,Électronique,100,7209.03,0.1957
2024-01-05,Île-de-France,Vêtements,77,5945.26,0.4633
2024-01-05,Île-de-France,Alimentation,94,4475.61,0.1621
2024-01-05,Île-de-France,Maison,52,4197.3,0.3854
2024-01-05,Île-de-France,Sport,72,3661.12,0.3736
2024-01-06,Nord,Électronique,64,3172.5,0.2472
2024-01-06,Nord,Vêtements,45,2202.33,0.4399
2024-01-06,Nord,Alimentation,37,1805.29,0.1975
2024-01-06,Nord,Maison,22,1718.79,0.3219
2024-01-06,Nord,Sport,29,1431.66,0.4072
2024-01-06,Sud,Électronique,61,3787.93,0.2495
2024-01-06,Sud,Vêtements,40,2576.15,0.4499
2024-01-06,Sud,Alimentation,28,2166.53,0.1635
2024-01-06,Sud,Maison,41,2469.65,0.3518
2024-01-06,Sud,Sport,36,1950.03,0.372
2024-01-06,Est,Électronique,29,2534.04,0.2397
2024-01-06,Est,Vêtements,21,1814.07,0.4345
2024-01-06,Est,Alimentation,23,1702.17,0.1881
2024-01-06,Est,Maison,27,1899.05,0.3347
2024-01-06,Est,Sport,17,1248.82,0.3995
2024-01-06,Ouest,Électronique,39,2507.43,0.208
2024-01-06,Ouest,Vêtements,43,2078.61,0.4138
2024-01-06,Ouest,Alimentation,27,1577.99,0.2175
2024-01-06,Ouest,Maison,35,1806.98,0.3694
2024-01-06,Ouest,Sport,14,1202.05,0.4166
2024-01-06,Île-de-France,Électronique,75,5845.37,0.2144
2024-01-06,Île-de-France,Vêtements,43,3624.39,0.4771
2024-01-06,Île-de-France,Alimentation,53,3434.09,0.1856
2024-01-06,Île-de-France,Maison,69,3297.85,0.338
2024-01-06,Île-de-France,Sport,35,3001.01,0.386
2024-01-07,Nord,Électronique,39,3025.27,0.2209
2024-01-07,Nord,Vêtements,41,2105.91,0.418
2024-01-07,Nord,Alimentation,32,1744.63,0.1903
2024-01-07,Nord,Maison,35,2108.92,0.3808
2024-01-07,Nord,Sport,23,1552.2,0.365
2024-01-07,Sud,Électronique,47,3729.96,0.251
2024-01-07,Sud,Vêtements,38,3075.23,0.4851
2024-01-07,Sud,Alimentation,42,1939.6,0.1746
2024-01-07,Sud,Maison,34,2498.67,0.3774
2024-01-07,Sud,Sport,39,1783.89,0.3732
2024-01-07,Est,Électronique,45,2733.38,0.1848
2024-01-07,Est,Vêtements,32,1927.59,0.4473
2024-01-07,Est,Alimentation,26,1613.07,0.1815
2024-01-07,Est,Maison,21,1747.21,0.3566
2024-01-07,Est,Sport,17,1088.3,0.3789
2024-01-07,Ouest,Électronique,46,2686.67,0.2281
2024-01-07,Ouest,Vêtements,35,1719.63,0.4634
2024-01-07,Ouest,Alimentation,23,1400.68,0.1898
2024-01-07,Ouest,Maison,23,1719.34,0.3691
2024-01-07,Ouest,Sport,27,1295.97,0.3705
2024-01-07,Île-de-France,Électronique,108,5630.57,0.2041
2024-01-07,Île-de-France,Vêtements,62,3718.15,0.4462
2024-01-07,Île-de-France,Alimentation,83,3888.12,0.1807
2024-01-07,Île-de-France,Maison,81,3935.61,0.3741
2024-01-07,Île-de-France,Sport,37,2913.58,0.3756
2024-01-08,Nord,Électronique,71,3794.46,0.2316
2024-01-08,Nord,Vêtements,40,2816.63,0.404
2024-01-08,Nord,Alimentation,29,2188.52,0.1362
2024-01-08,Nord,Maison,41,2711.55,0.3562
2024-01-08,Nord,Sport,29,1859.19,0.3816
2024-01-08,Sud,Électronique,77,4294.67,0.2241
2024-01-08,Sud,Vêtements,59,3467.37,0.449
2024-01-08,Sud,Alimentation,53,2670.34,0.1584
2024-01-08,Sud,Maison,44,3223.31,0.3682
2024-01-08,Sud,Sport,50,2462.43,0.4096
2024-01-08,Est,Électronique,53,3998.22,0.2403
2024-01-08,Est,Vêtements,39,2200.85,0.4462
2024-01-08,Est,Alimentation,31,2134.38,0.1538
2024-01-08,Est,Maison,39,1918.33,0.3613
2024-01-08,Est,Sport,31,1618.43,0.3675
2024-01-08,Ouest,Électronique,65,3414.15,0.2027
2024-01-08,Ouest,Vêtements,24,2047.43,0.4637
2024-01-08,Ouest,Alimentation,23,2008.85,0.1618
2024-01-08,Ouest,Maison,42,2347.74,0.3555
2024-01-08,Ouest,Sport,22,1863.81,0.3604
2024-01-08,Île-de-France,Électronique,162,9121.57,0.2524
2024-01-08,Île-de-France,Vêtements,91,5303.14,0.4614
2024-01-08,Île-de-France,Alimentation,83,4580.27,0.1252
2024-01-08,Île-de-France,Maison,90,5144.72,0.3319
2024-01-08,Île-de-France,Sport,55,3562.77,0.3854
2024-01-09,Nord,Électronique,65,3821.74,0.2209
2024-01-09,Nord,Vêtements,37,2741.31,0.4652
2024-01-09,Nord,Alimentation,37,2401.65,0.2088
2024-01-09,Nord,Maison,27,2224.92,0.3293
2024-01-09,Nord,Sport,25,2075.86,0.3679
2024-01-09,Sud,Électronique,65,5120.41,0.2516
2024-01-09,Sud,Vêtements,68,3615.07,0.4418
2024-01-09,Sud,Alimentation,35,2744.25,0.1736
2024-01-09,Sud,Maison,54,3241.44,0.3915
2024-01-09,Sud,Sport,31,2410.74,0.399
2024-01-09,Est,Électronique,44,2812.15,0.1998
2024-01-09,Est,Vêtements,39,2601.91,0.4331
2024-01-09,Est,Alimentation,32,1970.22,0.1756
2024-01-09,Est,Maison,33,2314.21,0.3519
2024-01-09,Est,Sport,29,1481.28,0.4029
2024-01-09,Ouest,Électronique,56,3730.05,0.2449
2024-01-09,Ouest,Vêtements,50,2597.25,0.455
2024-01-09,Ouest,Alimentation,25,1869.19,0.1637
2024-01-09,Ouest,Maison,30,2317.19,0.3404
2024-01-09,Ouest,Sport,22,1742.18,0.3966
2024-01-09,Île-de-France,Électronique,99,7670.73,0.2004
2024-01-09,Île-de-France,Vêtements,73,5408.52,0.4389
2024-01-09,Île-de-France,Alimentation,65,4791.67,0.2071
2024-01-09,Île-de-France,Maison,74,4381.89,0.3556
2024-01-09,Île-de-France,Sport,52,3362.19,0.4099
2024-01-10,Nord,Électronique,58,4090.23,0.2729
2024-01-10,Nord,Vêtements,39,2905.2,0.4645
2024-01-10,Nord,Alimentation,45,2343.97,0.1888
2024-01-10,Nord,Maison,48,2982.26,0.3769
2024-01-10,Nord,Sport,24,2045.66,0.382
2024-01-10,Sud,Électronique,53,4537.86,0.2175
2024-01-10,Sud,Vêtements,69,4234.9,0.4605
2024-01-10,Sud,Alimentation,36,2780.4,0.1715
2024-01-10,Sud,Maison,41,3383.99,0.3036
2024-01-10,Sud,Sport,29,2209.72,0.3541
2024-01-10,Est,Électronique,46,2956.06,0.2148
2024-01-10,Est,Vêtements,36,2352.82,0.4445
2024-01-10,Est,Alimentation,34,2043.56,0.1769
2024-01-10,Est,Maison,54,2479.5,0.3725
2024-01-10,Est,Sport,18,1543.29,0.3903
2024-01-10,Ouest,Électronique,72,3506.9,0.1979
2024-01-10,Ouest,Vêtements,37,2560.14,0.4532
2024-01-10,Ouest,Alimentation,38,2050.28,0.1795
2024-01-10,Ouest,Maison,43,2282.83,0.3531
2024-01-10,Ouest,Sport,26,1787.3,0.3691
2024-01-10,Île-de-France,Électronique,139,8710.92,0.1668
2024-01-10,Île-de-France,Vêtements,120,6158.25,0.4085
2024-01-10,Île-de-France,Alimentation,55,4583.88,0.1749
2024-01-10,Île-de-France,Maison,63,4472.49,0.3344
2024-01-10,Île-de-France,Sport,74,3806.51,0.3786
2024-01-11,Nord,Électronique,94,4333.81,0.2454
2024-01-11,Nord,Vêtements,37,2717.69,0.4354
2024-01-11,Nord,Alimentation,31,2207.32,0.1898
2024-01-11,Nord,Maison,46,2519.28,0.3454
2024-01-11,Nord,Sport,27,2130.66,0.3889
2024-01-11,Sud,Électronique,104,5577.08,0.1999
2024-01-11,Sud,Vêtements,80,3687.02,0.4438
2024-01-11,Sud,Alimentation,30,2439.83,0.2153
2024-01-11,Sud,Maison,54,3035.52,0.371
2024-01-11,Sud,Sport,48,2723.36,0.3449
2024-01-11,Est,Électronique,44,3015.82,0.2551
2024-01-11,Est,Vêtements,24,2063.33,0.4391
2024-01-11,Est,Alimentation,23,1836.3,0.188
2024-01-11,Est,Maison,30,2327.93,0.3494
2024-01-11,Est,Sport,29,1631.13,0.3789
2024-01-11,Ouest,Électronique,75,4201.95,0.2334
2024-01-11,Ouest,Vêtements,30,2594.99,0.4463
2024-01-11,Ouest,Alimentation,32,1836.9,0.182
2024-01-11,Ouest,Maison,41,2340.1,0.3304
2024-01-11,Ouest,Sport,26,2079.52,0.3944
2024-01-11,Île-de-France,Électronique,115,8000.58,0.2397
2024-01-11,Île-de-France,Vêtements,63,5150.32,0.4602
2024-01-11,Île-de-France,Alimentation,58,3820.23,0.1544
2024-01-11,Île-de-France,Maison,70,4899.68,0.354
2024-01-11,Île-de-France,Sport,65,3728.23,0.3519
2024-01-12,Nord,Électronique,78,4464.65,0.2023
2024-01-12,Nord,Vêtements,37,2661.26,0.5026
2024-01-12,Nord,Alimentation,43,2321.57,0.1836
2024-01-12,Nord,Maison,38,2472.64,0.3524
2024-01-12,Nord,Sport,22,1743.51,0.3997
2024-01-12,Sud,Électronique,67,4914.21,0.2554
2024-01-12,Sud,Vêtements,39,3081.28,0.442
2024-01-12,Sud,Alimentation,52,2958.47,0.1995
2024-01-12,Sud,Maison,55,2721.22,0.3729
2024-01-12,Sud,Sport,46,2449.33,0.3924
2024-01-12,Est,Électronique,49,3646.16,0.2224
2024-01-12,Est,Vêtements,34,2507.48,0.4716
2024-01-12,Est,Alimentation,28,1850.3,0.1927
2024-01-12,Est,Maison,42,2234.24,0.3542
2024-01-12,Est,Sport,38,1790.0,0.3827
2024-01-12,Ouest,Électronique,39,3274.04,0.2411
2024-01-12,Ouest,Vêtements,35,2791.23,0.4484
2024-01-12,Ouest,Alimentation,47,2201.73,0.1697
2024-01-12,Ouest,Maison,41,2045.0,0.36
2024-01-12,Ouest,Sport,31,1823.85,0.3704
2024-01-12,Île-de-France,Électronique,133,7676.28,0.2227
2024-01-12,Île-de-France,Vêtements,108,6248.25,0.4539
2024-01-12,Île-de-France,Alimentation,68,4791.01,0.1857
2024-01-12,Île-de-France,Maison,61,5073.18,0.3713
2024-01-12,Île-de-France,Sport,70,4303.59,0.3663
2024-01-13,Nord,Électronique,44,3580.15,0.2127
2024-01-13,Nord,Vêtements,25,1869.38,0.4148
2024-01-13,Nord,Alimentation,28,1669.91,0.1744
2024-01-13,Nord,Maison,32,1787.53,0.329
2024-01-13,Nord,Sport,24,1507.8,0.3847
2024-01-13,Sud,Électronique,40,3379.45,0.2337
2024-01-13,Sud,Vêtements,34,2847.89,0.4457
2024-01-13,Sud,Alimentation,48,2502.25,0.1667
2024-01-13,Sud,Maison,34,2407.64,0.3598
2024-01-13,Sud,Sport,31,1615.9,0.3815
2024-01-13,Est,Électronique,31,2394.37,0.2089
2024-01-13,Est,Vêtements,20,1728.58,0.4466
2024-01-13,Est,Alimentation,22,1603.64,0.1686
2024-01-13,Est,Maison,30,1664.53,0.3425
2024-01-13,Est,Sport,18,1280.45,0.3497
2024-01-13,Ouest,Électronique,31,2507.34,0.2233
2024-01-13,Ouest,Vêtements,22,1825.88,0.4422
2024-01-13,Ouest,Alimentation,23,1602.79,0.2017
2024-01-13,Ouest,Maison,28,1703.54,0.334
2024-01-13,Ouest,Sport,22,1439.06,0.361
2024-01-13,Île-de-France,Électronique,71,5636.52,0.2245
2024-01-13,Île-de-France,Vêtements,44,3030.45,0.4326
2024-01-13,Île-de-France,Alimentation,44,3228.44,0.2009
2024-01-13,Île-de-France,Maison,40,3284.25,0.3593
2024-01-13,Île-de-France,Sport,38,3078.92,0.4022
2024-01-14,Nord,Électronique,39,3122.13,0.2343
2024-01-14,Nord,Vêtements,33,2344.32,0.4734
2024-01-14,Nord,Alimentation,20,1638.26,0.1896
2024-01-14,Nord,Maison,32,1918.01,0.3529
2024-01-14,Nord,Sport,18,1428.59,0.3899
2024-01-14,Sud,Électronique,81,3704.5,0.2456
2024-01-14,Sud,Vêtements,33,2812.71,0.4202
2024-01-14,Sud,Alimentation,26,1882.24,0.1949
2024-01-14,Sud,Maison,53,2660.2,0.3543
2024-01-14,Sud,Sport,22,1884.87,0.4115
2024-01-14,Est,Électronique,33,2763.73,0.1912
2024-01-14,Est,Vêtements,30,1735.71,0.4539
2024-01-14,Est,Alimentation,20,1398.19,0.1835
2024-01-14,Est,Maison,37,1774.88,0.3195
2024-01-14,Est,Sport,28,1297.0,0.3695
2024-01-14,Ouest,Électronique,41,3024.65,0.2187
2024-01-14,Ouest,Vêtements,19,1658.73,0.4419
2024-01-14,Ouest,Alimentation,26,1358.07,0.136
2024-01-14,Ouest,Maison,33,1817.67,0.3697
2024-01-14,Ouest,Sport,19,1370.21,0.3687
2024-01-14,Île-de-France,Électronique,69,5775.38,0.1971
2024-01-14,Île-de-France,Vêtements,79,4820.47,0.4286
2024-01-14,Île-de-France,Alimentation,66,3601.35,0.1759
2024-01-14,Île-de-France,Maison,42,3401.53,0.3789
2024-01-14,Île-de-France,Sport,58,3058.89,0.3794
2024-01-15,Nord,Électronique,54,4142.55,0.2291
2024-01-15,Nord,Vêtements,42,2985.97,0.4622
2024-01-15,Nord,Alimentation,30,2340.22,0.1942
2024-01-15,Nord,Maison,47,2378.27,0.349
2024-01-15,Nord,Sport,35,1906.91,0.416
2024-01-15,Sud,Électronique,67,4635.93,0.2197
2024-01-15,Sud,Vêtements,65,3756.73,0.4369
2024-01-15,Sud,Alimentation,57,2753.62,0.1795
2024-01-15,Sud,Maison,44,3053.37,0.3015
2024-01-15,Sud,Sport,33,2665.76,0.3581
2024-01-15,Est,Électronique,56,3100.08,0.219
2024-01-15,Est,Vêtements,39,2861.19,0.4495
2024-01-15,Est,Alimentation,32,1886.06,0.1805
2024-01-15,Est,Maison,34,2008.57,0.3508
2024-01-15,Est,Sport,22,1545.38,0.3744
2024-01-15,Ouest,Électronique,72,3867.53,0.2325
2024-01-15,Ouest,Vêtements,61,2846.59,0.4685
2024-01-15,Ouest,Alimentation,29,2344.87,0.1872
2024-01-15,Ouest,Maison,42,2469.0,0.3627
2024-01-15,Ouest,Sport,23,1808.42,0.399
2024-01-15,Île-de-France,Électronique,138,9141.6,0.2062
2024-01-15,Île-de-France,Vêtements,114,5434.45,0.4541
2024-01-15,Île-de-France,Alimentation,53,4246.53,0.1703
2024-01-15,Île-de-France,Maison,60,4624.07,0.3394
2024-01-15,Île-de-France,Sport,58,3912.36,0.4228
2024-01-16,Nord,Électronique,43,3730.98,0.2351
2024-01-16,Nord,Vêtements,54,2888.76,0.4524
2024-01-16,Nord,Alimentation,47,2211.42,0.1842
2024-01-16,Nord,Maison,31,2538.63,0.3166
2024-01-16,Nord,Sport,34,2166.45,0.3975
2024-01-16,Sud,Électronique,52,4444.75,0.1907
2024-01-16,Sud,Vêtements,41,3080.2,0.49
2024-01-16,Sud,Alimentation,37,3059.01,0.1792
2024-01-16,Sud,Maison,40,2754.14,0.3385
2024-01-16,Sud,Sport,37,2755.06,0.4076
2024-01-16,Est,Électronique,42,3467.96,0.2063
2024-01-16,Est,Vêtements,27,2294.34,0.4366
2024-01-16,Est,Alimentation,30,1969.74,0.1742
2024-01-16,Est,Maison,35,2253.93,0.3426
2024-01-16,Est,Sport,20,1379.69,0.3847
2024-01-16,Ouest,Électronique,41,3480.08,0.1976
2024-01-16,Ouest,Vêtements,46,2725.33,0.4251
2024-01-16,Ouest,Alimentation,23,1971.37,0.1869
2024-01-16,Ouest,Maison,42,2017.22,0.3446
2024-01-16,Ouest,Sport,30,1803.01,0.3543
2024-01-16,Île-de-France,Électronique,139,7677.4,0.2447
2024-01-16,Île-de-France,Vêtements,121,6272.34,0.467
2024-01-16,Île-de-France,Alimentation,74,4783.59,0.2045
2024-01-16,Île-de-France,Maison,75,5194.0,0.3586
2024-01-16,Île-de-France,Sport,77,3824.88,0.3876
2024-01-17,Nord,Électronique,60,4008.9,0.2193
2024-01-17,Nord,Vêtements,34,2849.84,0.4293
2024-01-17,Nord,Alimentation,49,2318.49,0.14
2024-01-17,Nord,Maison,32,2620.89,0.3591
2024-01-17,Nord,Sport,33,2176.96,0.3221
2024-01-17,Sud,Électronique,99,4584.56,0.2281
2024-01-17,Sud,Vêtements,72,3832.06,0.4292
2024-01-17,Sud,Alimentation,45,2878.31,0.167
2024-01-17,Sud,Maison,42,3119.67,0.3543
2024-01-17,Sud,Sport,35,2457.91,0.4201
2024-01-17,Est,Électronique,73,3414.06,0.241
2024-01-17,Est,Vêtements,33,2437.93,0.459
2024-01-17,Est,Alimentation,33,2018.11,0.1571
2024-01-17,Est,Maison,28,2026.66,0.3559
2024-01-17,Est,Sport,20,1671.38,0.3866
2024-01-17,Ouest,Électronique,49,3681.66,0.2487
2024-01-17,Ouest,Vêtements,43,2510.0,0.4693
2024-01-17,Ouest,Alimentation,29,2219.53,0.1914
2024-01-17,Ouest,Maison,28,2249.15,0.3775
2024-01-17,Ouest,Sport,40,1809.27,0.3594
2024-01-17,Île-de-France,Électronique,117,7152.42,0.1912
2024-01-17,Île-de-France,Vêtements,82,5203.45,0.4811
2024-01-17,Île-de-France,Alimentation,78,4251.0,0.1535
2024-01-17,Île-de-France,Maison,71,5108.42,0.336
2024-01-17,Île-de-France,Sport,61,3704.2,0.425
2024-01-18,Nord,Électronique,63,4051.08,0.2425
2024-01-18,Nord,Vêtements,37,2559.84,0.4171
2024-01-18,Nord,Alimentation,36,2733.21,0.1945
2024-01-18,Nord,Maison,32,2715.33,0.3671
2024-01-18,Nord,Sport,24,1975.25,0.3878
2024-01-18,Sud,Électronique,71,4630.76,0.2144
2024-01-18,Sud,Vêtements,57,3274.85,0.4303
2024-01-18,Sud,Alimentation,49,2856.53,0.2078
2024-01-18,Sud,Maison,63,3551.84,0.3655
2024-01-18,Sud,Sport,43,2270.33,0.3755
2024-01-18,Est,Électronique,46,3099.48,0.231
2024-01-18,Est,Vêtements,33,2284.54,0.4564
2024-01-18,Est,Alimentation,31,2134.64,0.1785
2024-01-18,Est,Maison,26,2181.64,0.3414
2024-01-18,Est,Sport,22,1842.11,0.3877
2024-01-18,Ouest,Électronique,48,3382.72,0.2067
2024-01-18,Ouest,Vêtements,34,2795.4,0.444
2024-01-18,Ouest,Alimentation,24,1844.21,0.1661
2024-01-18,Ouest,Maison,39,2451.99,0.3388
2024-01-18,Ouest,Sport,24,1695.45,0.3856
2024-01-18,Île-de-France,Électronique,178,9234.07,0.1952
2024-01-18,Île-de-France,Vêtements,109,5883.93,0.4583
2024-01-18,Île-de-France,Alimentation,73,4918.89,0.2125
2024-01-18,Île-de-France,Maison,70,4815.22,0.3226
2024-01-18,Île-de-France,Sport,79,4018.59,0.38
2024-01-19,Nord,Électronique,60,3772.77,0.2528
2024-01-19,Nord,Vêtements,36,3104.96,0.4721
2024-01-19,Nord,Alimentation,43,2408.87,0.2126
2024-01-19,Nord,Maison,39,2363.74,0.3358
2024-01-19,Nord,Sport,42,2021.5,0.3646
2024-01-19,Sud,Électronique,70,4682.85,0.234
2024-01-19,Sud,Vêtements,54,3613.18,0.4667
2024-01-19,Sud,Alimentation,35,2551.84,0.1553
2024-01-19,Sud,Maison,56,3591.9,0.3584
2024-01-19,Sud,Sport,29,2483.01,0.3664
2024-01-19,Est,Électronique,66,3504.82,0.2016
2024-01-19,Est,Vêtements,35,2224.33,0.4516
2024-01-19,Est,Alimentation,25,1807.02,0.2047
2024-01-19,Est,Maison,40,2067.74,0.3219
2024-01-19,Est,Sport,27,1843.04,0.3828
2024-01-19,Ouest,Électronique,44,3369.2,0.2245
2024-01-19,Ouest,Vêtements,33,2587.35,0.447
2024-01-19,Ouest,Alimentation,31,1872.59,0.1622
2024-01-19,Ouest,Maison,32,1965.55,0.3602
2024-01-19,Ouest,Sport,32,2101.05,0.3574
2024-01-19,Île-de-France,Électronique,92,7836.19,0.2368
2024-01-19,Île-de-France,Vêtements,66,5427.59,0.4593
2024-01-19,Île-de-France,Alimentation,74,4509.33,0.178
2024-01-19,Île-de-France,Maison,92,5269.2,0.362
2024-01-19,Île-de-France,Sport,74,3865.13,0.3649
2024-01-20,Nord,Électronique,33,2773.23,0.2463
2024-01-20,Nord,Vêtements,46,2347.64,0.4595
2024-01-20,Nord,Alimentation,27,2068.74,0.174
2024-01-20,Nord,Maison,31,1945.61,0.3238
2024-01-20,Nord,Sport,30,1467.04,0.3602
2024-01-20,Sud,Électronique,44,3712.75,0.2306
2024-01-20,Sud,Vêtements,34,2259.33,0.4371
2024-01-20,Sud,Alimentation,27,1953.29,0.1771
2024-01-20,Sud,Maison,34,2478.66,0.3244
2024-01-20,Sud,Sport,38,1816.44,0.4098
2024-01-20,Est,Électronique,48,2406.37,0.2118
2024-01-20,Est,Vêtements,23,1711.67,0.444
2024-01-20,Est,Alimentation,16,1441.81,0.1654
2024-01-20,Est,Maison,29,1676.63,0.3738
2024-01-20,Est,Sport,21,1310.35,0.4258
